job_title,experience_level,industry,city,salary_median_gbp
Data Scientist,Entry,Telecoms,Jaffna,10205
Marketing Manager,Mid,Tourism,Ratnapura,4448
Civil Engineer,Entry,Government,Jaffna,3351
Civil Engineer,Entry,Finance,Jaffna,6164
HR Specialist,Senior,Construction,Jaffna,6240
Project Manager,Senior,Logistics,Kurunegala,6712
Marketing Manager,Senior,Logistics,Polonnaruwa,6808
Pharmacist,Entry,Government,Batticaloa,2935
Teacher,Entry,Finance,Jaffna,5701
Marketing Manager,Mid,Manufacturing,Colombo,4868
Nurse,Entry,Telecoms,Galle,4828
Teacher,Senior,Government,Batticaloa,6855
Data Scientist,Entry,Retail,Galle,3804
Customer Support,Entry,Education,Galle,2500
Pharmacist,Mid,Tourism,Polonnaruwa,5280
Nurse,Entry,IT,Colombo,5981
Accountant,Senior,Agriculture,Colombo,4412
Customer Support,Entry,Tourism,Matara,2500
HR Specialist,Entry,Tourism,Matara,2702
Teacher,Senior,Manufacturing,Batticaloa,6520
Civil Engineer,Entry,Construction,Kurunegala,3187
Nurse,Entry,Agriculture,Kandy,2500
Accountant,Mid,Government,Trincomalee,5889
Sales Executive,Mid,Retail,Kurunegala,3597
Pharmacist,Mid,Tourism,Polonnaruwa,3511
Software Engineer,Entry,Logistics,Batticaloa,4243
Marketing Manager,Entry,Government,Negombo,3180
Sales Executive,Senior,IT,Galle,19697
Teacher,Mid,Logistics,Galle,3123
Pharmacist,Entry,Education,Jaffna,3998
Customer Support,Mid,Manufacturing,Jaffna,2500
Pharmacist,Mid,Agriculture,Polonnaruwa,2500
Civil Engineer,Senior,Government,Matara,7158
Project Manager,Senior,IT,Colombo,15290
Pharmacist,Entry,Agriculture,Matara,2500
Nurse,Senior,Education,Batticaloa,4177
Customer Support,Entry,Education,Anuradhapura,2500
Pharmacist,Entry,Manufacturing,Kandy,3338
Nurse,Entry,Telecoms,Ratnapura,4186
Data Scientist,Entry,IT,Trincomalee,13196
Data Scientist,Senior,Agriculture,Colombo,6550
Customer Support,Entry,Education,Anuradhapura,2576
Sales Executive,Entry,Retail,Galle,2651
Customer Support,Senior,Logistics,Negombo,4056
Teacher,Mid,Agriculture,Kandy,2500
Teacher,Senior,IT,Jaffna,14995
Project Manager,Mid,Telecoms,Trincomalee,9463
Civil Engineer,Entry,Construction,Galle,2721
Nurse,Senior,Education,Kurunegala,5143
Teacher,Senior,Construction,Anuradhapura,5421
Project Manager,Senior,Education,Negombo,7801
Teacher,Mid,Logistics,Trincomalee,3441
Marketing Manager,Entry,Finance,Jaffna,7411
HR Specialist,Entry,Finance,Polonnaruwa,6589
Accountant,Entry,Retail,Trincomalee,2500
Customer Support,Entry,Agriculture,Colombo,2500
Accountant,Senior,IT,Galle,13673
Pharmacist,Entry,Retail,Ratnapura,2500
Software Engineer,Mid,Telecoms,Trincomalee,12733
Civil Engineer,Entry,Agriculture,Galle,2500
Pharmacist,Senior,Government,Galle,6806
Project Manager,Entry,Agriculture,Ratnapura,2500
Software Engineer,Entry,Tourism,Kurunegala,3115
Project Manager,Mid,Tourism,Jaffna,2993
Software Engineer,Entry,Manufacturing,Negombo,4746
Teacher,Senior,Government,Batticaloa,6249
Sales Executive,Mid,Tourism,Matara,4015
Data Scientist,Senior,Logistics,Polonnaruwa,7445
Civil Engineer,Mid,Finance,Ratnapura,8497
Marketing Manager,Mid,Finance,Galle,8320
Customer Support,Mid,Telecoms,Kandy,4469
Pharmacist,Entry,Telecoms,Matara,6529
Nurse,Mid,IT,Polonnaruwa,7656
Data Scientist,Senior,Manufacturing,Polonnaruwa,9619
HR Specialist,Entry,Finance,Trincomalee,7122
Teacher,Entry,Healthcare,Colombo,5538
Marketing Manager,Entry,Telecoms,Ratnapura,6047
Accountant,Entry,Retail,Colombo,2500
Customer Support,Entry,Construction,Ratnapura,2500
Project Manager,Senior,Education,Kandy,9002
Civil Engineer,Mid,Logistics,Ratnapura,3619
Pharmacist,Entry,IT,Negombo,6670
Marketing Manager,Entry,Finance,Polonnaruwa,7470
Customer Support,Mid,Manufacturing,Negombo,2500
Data Scientist,Entry,Education,Matara,5271
Accountant,Entry,Tourism,Colombo,2500
Software Engineer,Mid,Retail,Anuradhapura,5077
Teacher,Entry,Education,Kandy,3299
Pharmacist,Senior,Construction,Anuradhapura,7047
HR Specialist,Entry,Retail,Galle,2615
Software Engineer,Entry,IT,Kurunegala,8126
Sales Executive,Entry,Retail,Kandy,2500
Data Scientist,Mid,Retail,Trincomalee,5719
Nurse,Entry,Finance,Colombo,5150
Project Manager,Entry,Retail,Galle,2500
Accountant,Senior,Government,Galle,6601
HR Specialist,Entry,Retail,Kurunegala,2500
Project Manager,Mid,Finance,Colombo,9701
Software Engineer,Senior,Healthcare,Polonnaruwa,17530
Project Manager,Entry,IT,Matara,7880
Nurse,Senior,Tourism,Negombo,5447
Customer Support,Entry,Tourism,Ratnapura,2500
Accountant,Mid,IT,Jaffna,9928
Accountant,Entry,Tourism,Ratnapura,2929
Teacher,Entry,Retail,Trincomalee,2500
Customer Support,Mid,Retail,Kandy,2500
Data Scientist,Senior,Government,Anuradhapura,12018
Customer Support,Mid,Finance,Trincomalee,5611
Marketing Manager,Entry,Healthcare,Ratnapura,6344
Software Engineer,Entry,Telecoms,Matara,9493
Nurse,Mid,Healthcare,Polonnaruwa,5855
Civil Engineer,Mid,Retail,Kurunegala,3542
Customer Support,Entry,IT,Kurunegala,5027
Nurse,Mid,Manufacturing,Kurunegala,3025
Civil Engineer,Mid,Construction,Batticaloa,5050
Sales Executive,Entry,Construction,Colombo,3201
Civil Engineer,Senior,Manufacturing,Batticaloa,6983
Data Scientist,Senior,Manufacturing,Ratnapura,11072
Sales Executive,Mid,Telecoms,Batticaloa,8765
Accountant,Senior,Finance,Negombo,12260
Customer Support,Senior,Construction,Kurunegala,2836
Accountant,Entry,Finance,Trincomalee,5067
Teacher,Mid,Logistics,Kandy,3925
Accountant,Mid,Tourism,Negombo,4393
Teacher,Mid,Finance,Jaffna,6767
Pharmacist,Senior,Telecoms,Colombo,16878
Marketing Manager,Mid,Telecoms,Polonnaruwa,9648
Nurse,Entry,Finance,Kandy,6113
Nurse,Entry,Telecoms,Trincomalee,4314
Sales Executive,Senior,Logistics,Ratnapura,5774
Civil Engineer,Senior,Construction,Colombo,7325
Customer Support,Senior,Finance,Colombo,8923
HR Specialist,Entry,Retail,Negombo,2500
Software Engineer,Entry,Telecoms,Kandy,10104
Sales Executive,Mid,Manufacturing,Negombo,4795
Nurse,Mid,Telecoms,Negombo,6224
Civil Engineer,Mid,Healthcare,Kurunegala,9567
Sales Executive,Entry,Healthcare,Batticaloa,6703
Customer Support,Entry,Finance,Trincomalee,3951
Pharmacist,Senior,Tourism,Polonnaruwa,6454
Nurse,Mid,Construction,Kurunegala,3528
Accountant,Entry,Healthcare,Batticaloa,5081
Software Engineer,Mid,Retail,Colombo,5525
HR Specialist,Mid,Tourism,Negombo,4084
Customer Support,Senior,Telecoms,Ratnapura,8244
Project Manager,Entry,Telecoms,Batticaloa,5940
HR Specialist,Senior,Healthcare,Kurunegala,15467
Software Engineer,Mid,Education,Trincomalee,6840
Pharmacist,Mid,Education,Jaffna,5477
Accountant,Entry,IT,Polonnaruwa,6727
Software Engineer,Senior,IT,Negombo,28979
Sales Executive,Mid,Retail,Jaffna,3638
Marketing Manager,Entry,Retail,Matara,2975
Pharmacist,Senior,Logistics,Batticaloa,7000
Accountant,Entry,Finance,Trincomalee,4943
Software Engineer,Entry,Logistics,Polonnaruwa,3201
Customer Support,Senior,Tourism,Kurunegala,3549
HR Specialist,Mid,Logistics,Matara,4732
Accountant,Entry,Telecoms,Jaffna,5963
Marketing Manager,Mid,Agriculture,Negombo,2728
Civil Engineer,Mid,Finance,Jaffna,8677
Project Manager,Entry,Construction,Trincomalee,3126
Pharmacist,Mid,Tourism,Matara,3920
Accountant,Entry,Logistics,Galle,2545
Project Manager,Mid,Government,Jaffna,5929
Project Manager,Mid,Agriculture,Negombo,2500
Accountant,Entry,Telecoms,Kurunegala,5759
Sales Executive,Mid,Healthcare,Galle,9551
Accountant,Entry,Telecoms,Kandy,6061
HR Specialist,Mid,Retail,Matara,4159
Customer Support,Senior,Construction,Kandy,4093
Software Engineer,Mid,Construction,Jaffna,6986
Software Engineer,Mid,Logistics,Trincomalee,5290
Accountant,Senior,Manufacturing,Negombo,8099
Marketing Manager,Mid,Logistics,Anuradhapura,4844
Pharmacist,Mid,Manufacturing,Jaffna,4680
Project Manager,Senior,IT,Trincomalee,17919
Civil Engineer,Senior,Retail,Ratnapura,5889
Data Scientist,Senior,Government,Polonnaruwa,12165
Project Manager,Mid,Government,Anuradhapura,5463
Data Scientist,Senior,Tourism,Negombo,7387
Nurse,Mid,IT,Ratnapura,7960
Project Manager,Entry,Manufacturing,Galle,3169
Teacher,Entry,Manufacturing,Trincomalee,2818
Software Engineer,Mid,Healthcare,Trincomalee,12134
Software Engineer,Entry,Logistics,Kandy,3251
Civil Engineer,Entry,Logistics,Galle,3528
Customer Support,Mid,Tourism,Colombo,2500
Data Scientist,Entry,Government,Batticaloa,5122
Customer Support,Entry,IT,Jaffna,4719
Marketing Manager,Entry,Finance,Matara,6986
Marketing Manager,Mid,Education,Polonnaruwa,6151
Data Scientist,Mid,Agriculture,Ratnapura,4252
Civil Engineer,Entry,Manufacturing,Ratnapura,3152
Software Engineer,Senior,Healthcare,Matara,19070
Sales Executive,Mid,Construction,Kandy,4220
Teacher,Senior,Healthcare,Galle,9693
Customer Support,Entry,Logistics,Colombo,2500
Customer Support,Mid,Agriculture,Batticaloa,2500
Customer Support,Senior,Healthcare,Colombo,8401
Project Manager,Senior,Manufacturing,Polonnaruwa,7573
Pharmacist,Senior,Tourism,Anuradhapura,4873
Software Engineer,Mid,Construction,Matara,6861
Accountant,Senior,Education,Batticaloa,9089
Civil Engineer,Senior,Logistics,Galle,6820
Nurse,Senior,Telecoms,Trincomalee,10233
Accountant,Senior,IT,Kurunegala,17383
Software Engineer,Entry,Logistics,Ratnapura,3355
Nurse,Entry,Government,Matara,2500
Project Manager,Entry,Manufacturing,Jaffna,2500
Teacher,Mid,Retail,Galle,3211
Customer Support,Entry,Government,Negombo,2500
Nurse,Mid,Agriculture,Kandy,2500
HR Specialist,Mid,Telecoms,Colombo,9678
Software Engineer,Senior,IT,Galle,21064
Sales Executive,Entry,Education,Batticaloa,4138
Nurse,Senior,IT,Galle,10957
HR Specialist,Senior,Agriculture,Galle,4792
Sales Executive,Entry,IT,Colombo,6260
Teacher,Entry,Retail,Galle,2500
Pharmacist,Senior,Education,Colombo,8327
Customer Support,Senior,Manufacturing,Batticaloa,4503
Customer Support,Mid,IT,Negombo,5742
Nurse,Mid,Logistics,Polonnaruwa,3148
Data Scientist,Senior,Retail,Negombo,7580
Marketing Manager,Senior,Healthcare,Colombo,14877
Nurse,Senior,Retail,Galle,4506
Project Manager,Entry,Government,Kandy,3988
Marketing Manager,Entry,IT,Polonnaruwa,8171
Customer Support,Senior,IT,Batticaloa,10237
Project Manager,Senior,Finance,Matara,16130
Nurse,Entry,Finance,Colombo,4597
HR Specialist,Entry,Government,Trincomalee,2619
Data Scientist,Senior,Finance,Ratnapura,22892
Sales Executive,Mid,IT,Polonnaruwa,12317
Nurse,Entry,Agriculture,Polonnaruwa,2500
Project Manager,Mid,Education,Kandy,6138
Sales Executive,Entry,Tourism,Anuradhapura,3532
Data Scientist,Entry,IT,Kurunegala,9034
Pharmacist,Mid,Tourism,Matara,4156
HR Specialist,Entry,Retail,Ratnapura,2500
Software Engineer,Senior,Tourism,Trincomalee,8529
Civil Engineer,Senior,Tourism,Matara,5565
Data Scientist,Entry,Education,Kurunegala,5327
Software Engineer,Senior,Tourism,Galle,8925
Pharmacist,Mid,Agriculture,Trincomalee,2500
Accountant,Mid,Education,Kurunegala,4821
Nurse,Senior,Logistics,Galle,4317
Nurse,Senior,Finance,Anuradhapura,10176
Software Engineer,Mid,Finance,Batticaloa,16222
Customer Support,Mid,Healthcare,Kurunegala,5711
Customer Support,Senior,Agriculture,Negombo,2708
Sales Executive,Senior,Tourism,Ratnapura,6662
Accountant,Mid,IT,Colombo,10426
Sales Executive,Mid,Agriculture,Matara,3109
Project Manager,Senior,Agriculture,Kandy,4114
Customer Support,Entry,Retail,Matara,2500
Nurse,Senior,Manufacturing,Kandy,4813
Marketing Manager,Senior,IT,Negombo,19241
Pharmacist,Entry,Healthcare,Kandy,5653
Accountant,Mid,Government,Anuradhapura,4853
Teacher,Entry,Manufacturing,Anuradhapura,2549
Project Manager,Senior,Logistics,Galle,6850
Civil Engineer,Mid,Agriculture,Colombo,2731
Data Scientist,Mid,Healthcare,Kandy,11637
Data Scientist,Senior,Government,Matara,13554
Accountant,Entry,IT,Kandy,5629
Marketing Manager,Entry,Agriculture,Batticaloa,2500
Data Scientist,Mid,Manufacturing,Galle,6575
Pharmacist,Senior,Healthcare,Colombo,17423
Nurse,Entry,Manufacturing,Negombo,2598
HR Specialist,Mid,Agriculture,Polonnaruwa,2984
Software Engineer,Mid,Manufacturing,Polonnaruwa,7521
Software Engineer,Entry,Tourism,Trincomalee,3069
Sales Executive,Senior,Manufacturing,Anuradhapura,6517
Project Manager,Entry,IT,Jaffna,7372
Teacher,Entry,Retail,Colombo,2500
Accountant,Entry,Construction,Colombo,3169
Sales Executive,Senior,Construction,Polonnaruwa,7261
Customer Support,Mid,Telecoms,Batticaloa,5981
Data Scientist,Mid,Government,Kandy,7658
Pharmacist,Entry,Government,Matara,3381
Data Scientist,Entry,Manufacturing,Anuradhapura,3821
Pharmacist,Mid,Manufacturing,Negombo,4108
Customer Support,Senior,Construction,Jaffna,3732
Teacher,Entry,Education,Negombo,2776
Project Manager,Senior,Agriculture,Galle,4906
Civil Engineer,Senior,Government,Trincomalee,7174
Project Manager,Senior,Government,Kandy,7356
Sales Executive,Mid,Telecoms,Negombo,10334
Civil Engineer,Entry,Construction,Kurunegala,3233
Civil Engineer,Mid,Agriculture,Trincomalee,2684
Data Scientist,Senior,Logistics,Polonnaruwa,8232
Project Manager,Senior,Retail,Kandy,7124
Nurse,Mid,Retail,Trincomalee,2841
Accountant,Entry,Telecoms,Trincomalee,5362
Accountant,Senior,Government,Jaffna,6324
Accountant,Mid,Construction,Anuradhapura,4080
Data Scientist,Entry,Healthcare,Polonnaruwa,9880
Teacher,Senior,Healthcare,Trincomalee,9543
Pharmacist,Entry,Telecoms,Polonnaruwa,6025
Marketing Manager,Entry,Construction,Trincomalee,3297
Project Manager,Senior,Healthcare,Kandy,13990
Civil Engineer,Senior,Healthcare,Anuradhapura,13293
Nurse,Mid,Manufacturing,Kandy,2654
Pharmacist,Mid,Healthcare,Batticaloa,7366
Marketing Manager,Senior,Construction,Anuradhapura,8079
Pharmacist,Senior,Agriculture,Polonnaruwa,4045
Nurse,Entry,Education,Batticaloa,2500
HR Specialist,Mid,Telecoms,Trincomalee,8552
Sales Executive,Entry,Construction,Kandy,3599
Customer Support,Senior,Manufacturing,Trincomalee,3686
Project Manager,Entry,Manufacturing,Trincomalee,2953
Project Manager,Senior,Education,Trincomalee,7685
Teacher,Senior,Tourism,Kurunegala,4150
Civil Engineer,Mid,Telecoms,Kandy,8543
Pharmacist,Senior,Finance,Kurunegala,17140
Data Scientist,Mid,Retail,Kurunegala,3704
Project Manager,Mid,Logistics,Galle,4359
Data Scientist,Senior,Government,Galle,11450
Teacher,Mid,Healthcare,Kandy,6256
Sales Executive,Mid,Construction,Matara,5110
Teacher,Senior,Education,Galle,6792
Marketing Manager,Entry,Construction,Kurunegala,3163
Nurse,Senior,Tourism,Galle,4107
Accountant,Mid,Telecoms,Matara,9170
HR Specialist,Entry,Construction,Kurunegala,3189
Software Engineer,Entry,Government,Colombo,5100
Accountant,Mid,Construction,Kandy,3675
Civil Engineer,Entry,Logistics,Polonnaruwa,2500
Accountant,Entry,Manufacturing,Ratnapura,2805
HR Specialist,Mid,Education,Matara,4346
Data Scientist,Senior,Logistics,Matara,11865
Accountant,Mid,IT,Trincomalee,8446
Project Manager,Entry,Construction,Jaffna,3224
Pharmacist,Senior,Tourism,Kandy,7220
HR Specialist,Entry,IT,Kurunegala,9003
Project Manager,Mid,Logistics,Matara,4381
Data Scientist,Entry,Retail,Polonnaruwa,3134
Sales Executive,Mid,Government,Jaffna,5086
Civil Engineer,Senior,Construction,Trincomalee,7490
Marketing Manager,Entry,Manufacturing,Ratnapura,2983
Project Manager,Entry,Manufacturing,Ratnapura,2812
Civil Engineer,Senior,Finance,Kandy,18293
Nurse,Mid,Healthcare,Galle,5912
Accountant,Mid,IT,Jaffna,10855
Data Scientist,Entry,Telecoms,Ratnapura,8947
Teacher,Senior,Retail,Kandy,5485
Civil Engineer,Mid,Healthcare,Kurunegala,8518
HR Specialist,Mid,Retail,Negombo,2968
Sales Executive,Mid,Education,Polonnaruwa,5536
Software Engineer,Mid,Manufacturing,Jaffna,5887
Civil Engineer,Mid,Construction,Polonnaruwa,3491
Nurse,Senior,Finance,Kandy,9497
Software Engineer,Mid,IT,Kurunegala,13828
Sales Executive,Mid,Construction,Ratnapura,4341
Sales Executive,Entry,Construction,Jaffna,3275
Nurse,Entry,Education,Kandy,2617
HR Specialist,Mid,IT,Matara,10652
Nurse,Mid,Manufacturing,Galle,3729
Pharmacist,Entry,Healthcare,Trincomalee,6928
Software Engineer,Mid,Education,Colombo,5932
Marketing Manager,Mid,Construction,Galle,3292
HR Specialist,Senior,Construction,Kandy,8035
Accountant,Entry,Logistics,Polonnaruwa,2738
Accountant,Senior,Finance,Anuradhapura,17833
Software Engineer,Senior,Government,Galle,10542
Customer Support,Entry,Manufacturing,Matara,2500
Nurse,Senior,Healthcare,Colombo,9176
Nurse,Senior,Government,Kurunegala,5048
Civil Engineer,Senior,Agriculture,Galle,5098
Marketing Manager,Mid,Tourism,Jaffna,4148
Pharmacist,Senior,Education,Batticaloa,9459
Sales Executive,Senior,Logistics,Galle,5956
Data Scientist,Senior,Manufacturing,Matara,9015
Customer Support,Senior,Government,Colombo,4826
HR Specialist,Mid,Retail,Polonnaruwa,3529
Nurse,Senior,Retail,Colombo,4043
HR Specialist,Entry,Government,Ratnapura,2567
Marketing Manager,Entry,Tourism,Polonnaruwa,2597
Teacher,Senior,Education,Anuradhapura,6302
HR Specialist,Senior,Healthcare,Anuradhapura,14036
Civil Engineer,Senior,Finance,Kurunegala,14665
Civil Engineer,Entry,Education,Polonnaruwa,3898
Pharmacist,Mid,Education,Matara,5240
HR Specialist,Entry,Healthcare,Anuradhapura,6347
Civil Engineer,Senior,Manufacturing,Negombo,8884
Project Manager,Mid,Tourism,Jaffna,4036
Customer Support,Entry,Government,Galle,2550
Project Manager,Senior,Construction,Anuradhapura,6415
Customer Support,Senior,Tourism,Kurunegala,3342
Data Scientist,Mid,Education,Matara,5889
Marketing Manager,Entry,Healthcare,Ratnapura,7658
Civil Engineer,Entry,Healthcare,Anuradhapura,5350
Customer Support,Senior,IT,Batticaloa,11630
Accountant,Entry,Retail,Anuradhapura,2844
Civil Engineer,Entry,Construction,Kurunegala,2963
Marketing Manager,Entry,Construction,Kandy,3799
Teacher,Mid,Retail,Jaffna,3586
Marketing Manager,Entry,Education,Trincomalee,3133
Pharmacist,Entry,Tourism,Negombo,2500
Civil Engineer,Mid,Retail,Polonnaruwa,4551
Marketing Manager,Entry,Logistics,Batticaloa,2638
Data Scientist,Entry,Telecoms,Kurunegala,8461
Pharmacist,Entry,Logistics,Polonnaruwa,2705
Sales Executive,Senior,Telecoms,Kurunegala,13661
HR Specialist,Mid,IT,Jaffna,10503
Pharmacist,Entry,IT,Polonnaruwa,6728
Nurse,Mid,Retail,Polonnaruwa,2500
Nurse,Entry,Government,Jaffna,2910
Sales Executive,Mid,Government,Jaffna,4839
Marketing Manager,Senior,Telecoms,Anuradhapura,17531
Software Engineer,Senior,Government,Polonnaruwa,11958
Project Manager,Senior,Logistics,Galle,7200
Project Manager,Senior,Manufacturing,Anuradhapura,7388
Accountant,Entry,Logistics,Ratnapura,3051
Pharmacist,Senior,Manufacturing,Anuradhapura,7444
Customer Support,Senior,Manufacturing,Matara,3000
Teacher,Entry,Agriculture,Anuradhapura,2500
Software Engineer,Senior,Government,Matara,10566
Software Engineer,Mid,Tourism,Ratnapura,5304
Software Engineer,Senior,Telecoms,Galle,19702
Data Scientist,Mid,Manufacturing,Batticaloa,6975
HR Specialist,Mid,Healthcare,Anuradhapura,9460
Teacher,Mid,Finance,Batticaloa,8244
Sales Executive,Mid,Manufacturing,Batticaloa,3852
Sales Executive,Entry,Logistics,Polonnaruwa,3052
HR Specialist,Mid,Tourism,Ratnapura,3687
Software Engineer,Senior,Government,Batticaloa,10159
Accountant,Senior,Tourism,Trincomalee,7027
Marketing Manager,Senior,Education,Trincomalee,10140
Accountant,Mid,Finance,Anuradhapura,8763
Civil Engineer,Senior,Retail,Trincomalee,6666
HR Specialist,Senior,Education,Kurunegala,6849
Sales Executive,Mid,Retail,Galle,4271
Customer Support,Mid,Manufacturing,Polonnaruwa,3253
Marketing Manager,Mid,Logistics,Anuradhapura,4671
Accountant,Mid,Government,Batticaloa,5226
Data Scientist,Entry,Retail,Kandy,3281
Nurse,Entry,Healthcare,Anuradhapura,4063
Civil Engineer,Senior,Construction,Kandy,7265
Accountant,Mid,IT,Negombo,11156
Civil Engineer,Entry,Education,Jaffna,3782
Customer Support,Senior,Telecoms,Kurunegala,9099
Pharmacist,Mid,Telecoms,Galle,10201
Marketing Manager,Senior,Finance,Negombo,15341
Marketing Manager,Senior,IT,Anuradhapura,15719
Customer Support,Senior,Telecoms,Trincomalee,7860
Sales Executive,Entry,IT,Matara,7797
HR Specialist,Senior,Construction,Anuradhapura,7044
Project Manager,Entry,Retail,Polonnaruwa,2616
Accountant,Mid,Retail,Jaffna,3142
Customer Support,Entry,Healthcare,Jaffna,3776
Teacher,Entry,Government,Batticaloa,3047
Customer Support,Senior,Education,Batticaloa,4715
Customer Support,Entry,Government,Kurunegala,2572
Pharmacist,Senior,Construction,Matara,7020
Sales Executive,Senior,Tourism,Kandy,7205
